text,date,gold_label_list,,,
Check out Smurfs Race to Smurf Village Game #PressmanToy {URL} via @user,2019-9-8,[0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0],,,
"T-33 days until #saveagainstfear2019  One of the sessions @user ran at SAFe was #deadlands I joined in like usual, and was in a party with two of the people in his home game. We dealt with a train heist, and it was a blast. I was then invited to join their home game!",2019-9-8,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0],,,
Game Day!  Wish we could see @LaAdrian_Waddle suit up today.  Rest up and get better soon!!!! @user Hope we can hear you cheering from WNY!!!!  #BringIt #GoBills,2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
Game day!!! @Ito_Smith #NFL100 #InBrotherhood #RiseUp #AtlantaFalcons #NFLKickoff @ Mercedes-Benz Stadium {URL},2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
Baker Mayfield and OBJ arrive for Game 1 at FirstEnergy {URL} via @fox8news,2019-9-8,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
Still time to get your bites of happyness before the game starts. We are doing a demo today at @user Palm Beach Gardens. Come on by!!  #happylicious #bitesofhappyness #demoday #groceryshopping #palmbeachgardens�?{URL},2019-9-8,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0],,,
Great first game of your college career @Spencer_Rattler Looking forward to the season @Oklahoma_Football @Oklahoma_Sooners,2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
The Game AI Show is live now - come listen to @Luke_Dicken deconstruct #GameAI and #GameDev! {URL},2019-9-8,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0],,,
. @user We have a volunteer to make lawn signs for our campaign. I think it should look like the tee shirts. Mine is pictured below. She needs the original artwork to do this however. Is that a possibility?,2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],,,
I can’t believe the officiating let this game get completely away from them.  An utter disgrace by the @NFL not holding the @Jacksonville_Jaguars accountable for anything at all.,2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
". @Rice_Football Week 2 is in the books.  | Rest of C-USA | {URL} | Next Up, Tom Stewart? | {URL} | Game Recap | {URL} #GoOwls #IntellectualBrutality",2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
100 photos from Women s 3-nations final game �?in Salo. {URL} #floorball #salibandy @user @user,2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
#flyeaglesfly @Brian_Dawkins The ENTIRE offseason plus camp to prepare for 1st game of the season. And we see this .... sad,2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
The @Philadelphia_Eagles looking flat in this 5th preseason game.,2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
"I just woke up, and in case none of you saw my postgame column at 2:46 a.m., I ve got one stat for you: @Washington_Football in the red zone against Cal the past two seasons: 100% (5-for-5).  No, seriously: {URL} ",2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
". If he keeps it up,#Richardson is going to lose this game for the @Cleveland_Browns . 3 penalties in last 5 mins of play.",2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
"Power out in the CBS production truck at the KC-JAX game, good for the chiefs? @user ",2019-9-8,[0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0],,,
"Sunday XI: 258-6 dec (Winslet 76, Mason 77*) - 35.5 overs  Drew with @user Sunday XI: 130-9 - 45 overs  Final game of the season next Sunday vs @user , all welcome up at the #HCG to see in the Autumn!",2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
The @Development_Academy should consider allowing one overage player per team per game. Just an idea I had coaching my first @Development_Academy games today with @user,2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
Enter for a chance to win an ALIENWARE S Remnant: From The Ashes Bundle Giveaway! @Remnant_From_the_Ashes #alienwaregiveaway {URL},2019-9-8,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0],,,
Game night is here. 8:00 @ Confed vs @user #royalsrule #winning #groab,2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
I just really hope my @Dallas_Cowboys don’t let up. Don’t be like prior years and let teams back in it. Even if giants come out and score. Go right back down field and make it 2 score game again. @user . #WeDemBoyz,2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
new tagging game :p  1. @user 2. @user 3. @user 4. idk 5. @user and @user 6. @larri 7. @user 8. @user 9. @user 10. @user reply with an emoji for the questions uwu,2019-9-8,[0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0],,,
"Quick tweet about the result of the Brewers Cubs series/game today: It is September, so the expected outcome happened. @Jon_Lester ",2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
I like the @NFL because I remember being a kid 35 years ago @Larry_Fitzgerald making incredible catches to save the game. @Arizona_Cardinals,2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
Watching LEC  “Who do you guys think will win today�?Me- “cg 3-2 reverse sweep with Cody sun Quadra to close out game 5�?@Frostynomadd - *confused tomato gif* Who’s on the right track now,2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
Awesome win against @user ‼️ Score: 1-0  Goal by Fresh. Triston Key⚽️  Very hard fought match against the colts! Great Game all around!  #GoCougs #BreakTheStreak,2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
"“Brady v Roethlisberger, The Movie�?Obviously Chris Pratt as Tom.  But I’m struggling with who plays Ben... @user ?",2019-9-8,[0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0],,,
. @saebyeolbe and cleaning up at Numbani in a playoff game  Name a more iconic duo.  #EverUpward #OWL2019,2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
Drinking game for #SNFonNBC tonight. Take a drink every time they talk about @AB or show him on screen.,2019-9-8,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0],,,
I want @Mason_Rudolph to play (#GoPokes) but you can’t pull Ben because of one bad half in a game the @Pittsburgh_Steelers knew they would lose. #steelersvspatriots,2019-9-9,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
St. Margaret s  09/09/19 @user :00pm Game 3 vs. Canon Mac Forwards 1.Wilpula-Migliozzi-Felsing 2.Defillip-Robb-Gollob 3.Cavanaugh-Freeman-A.Schalt 4.Paul-Cessna-Lutz Defense 1.Geregach-Strilka 2.Casperson-Muha 3.Molka-Zulka Goalies 1.Reinholt 2.O Malley,2019-9-9,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
I have a hunch (and some circumstantial evidence) that @NFL_Officiating was allegedly attempting to sway the #TitansvsBrowns game yesterday. The NFL is entering some sketchy territory. I’ve got my  on you. More to come.,2019-9-9,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
[Sep 9] Softbank Hawks vs Lotte Marines game highlights from Yahoo Dome {URL} via @com_TV #npb,2019-9-9,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
The biggest mismatch in tonight’s #DENvsOAK game?   My thoughts for @The_Action_Network game analysis {URL},2019-9-9,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
Ravens vs Dolphins Post Game Breakdown {URL} via @user,2019-9-9,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0],,,
"The @Celeste_boo devs truly outdid themselves with Chapter 9, and I do not regret a single second playing it. What an amazing experience the whole game was, even.",2019-9-9,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0],,,
Updating the scoreboard since 2014: @Alabama_Football 12 non-conference September home games. Night games: 1  LSU: 12 non-conference September home games. Night games: 12.*   *LSU’s 2015 game vs. McNeese State (6:30 p.m. kickoff scheduled) was cancelled due to weather.,2019-9-9,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0],,,
Final 1-1 for JV @user vs the @user .  Good game girls!,2019-9-9,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0],,,
Grooming for @G_Eazy // Halftime Performance for the Raiders game & the Saints game // BTS pics x @user // styling x @user // stunt driving x @user // genesishalftimeshow espn {URL},2019-9-10,[0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0],,,
Super game - @New_Orleans_Saints win in a thriller #SaintsGameday #TexansvsSaints,2019-9-10,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0],,,
Soccer: Girls Varsity Game Westford Academy vs Wayland High School @ Westford Academy Trustees Field @user @user #DCL #girls #soccer {URL},2019-9-10,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0],,,
#fix2K20 hire more devs for NBA 2K why every year we get a beta for a game why is a 5 star game company putting out such trash every year @user,2019-9-10,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0],,,
Boom it s Game Day - Varsity Boys & Girls Soccer at The Ditch vs Pick North. Game times - Girls 5:30 / Boys 7:15 #pawsitivity #TigersSoccer @user @user @user,2019-9-10,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0],,,
"A great read from @Brian_Hoxsey (with some great pics from @user to boot!) on @Michael_Hermosillo ‘s season to this point, his two-hit game Sunday vs the @Chicago_White_Sox and his goals for the rest of the season and beyond with the @Los_Angeles_Angels ... {URL} ",2019-9-10,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0],,,
I know it s a HUUUGE long shot but seeing how we have @Capcom_USA and @SNK_GLOBAL in the same game can we get some #CapcomVsSNK2 songs with Terry...if y all give us  True Love we re Making  I ll prolly never hear a different song in that game again #SmashBros,2019-9-10,[0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0],,,
I have three game previews this week for @Athlon_Sports .  #PennState vs #Pitt  #MichiganState vs #ArizonaState #Purdue vs #TCU  Some good stuff here.,2019-9-10,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0],,,
Girard Indians vs John F Kennedy Eagles @user {URL} #HSBOH_W3R13,2019-9-11,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
New podcast is out! @user and @user break down the Dolphins game more and talk about the Cardinals. @user calls in for “Crawford’s Chronicles�?{URL},2019-9-11,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
Friday’s game vs @user airs live on the TEN Network at 7 exclusively on {URL} Catch the special encore presentation Saturday at 8 PM on 920 W.O.N: The Apple {URL} @user @user @user @user @user,2019-9-11,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0],,,
"Check out Olathe North  vs Lawrence Free State  Game Highlights - Sept. 10, 2019 by Olathe North High School - Varsity Volleyball on @Hudl {URL} #hudl",2019-9-12,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0],,,
I still want the original #Charmed to come back! @user @Holly_Marie_Combs_Ryan @Shannen_Doherty @Rose_McGowan ! #Streghe #Ilpoteredeltriocoincidecolmio #ThePowerofThreewillsetusFree @CBS_Tweet @CBS_Studios @user �?{URL},2019-9-13,[0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0],,,
"I’m not quite understanding the recent steam of the Saints. Yes, they have a good ATS on the road, but Brees & Goff home road splits favor Rams. Also short week for Saints after emotional MNF game / public must love Saints after watching that @user ",2019-9-13,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
Why isn t @Sky_Sports_Rugby_League showing the Toulouse vs @York_City_Knights match this weekend? Thought they were showing all playoff matches? {URL},2019-9-13,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0],,,
Ok so another muscular injury for Real Madrid again - this time na Federico Valverde. Hin go miss tomorrow game and UCL opener vs PSG. [ @MARCA ]  make everybody kukuma go injury then,2019-9-13,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0],,,
"Sept 8, 2019  at last! @user @user vs @user quarterfinal action leg 2.  my game report at: {URL} ",2019-9-13,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0],,,
First game of the tournament went point for point! UMW vs Columbia starting in 32 minutes!! @user,2019-9-13,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0],,,
"Other games in the area @user at Grandview Heights, @user is your man. @user at @user , follow @user . @user at @user follow @user . @user at Arcadia is the final game, not sure who ll be there #tfhss",2019-9-13,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0],,,
The Cardinals take the field in the cross town rivalry game vs. Leuzinger Olympians! Gonna be a great night! #lawndalerockstars #lawndalecardinalfamily #togetherwewin #cifssfootball the_dale_football @user �?{URL},2019-9-14,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0],,,
GAME DAY!  All three teams in action again this week.  1sts vs @user (H) 3:00pm kick off   Reserves vs @user reserves (A) 2:30pm kick off  3rds vs @user 3rds (A) 2:30pm kick off   Best of luck to all three teams   ⚪️ #UTS,2019-9-14,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0],,,
Ohio State vs. Indiana picks for today from me @user and @Stephen_Means {URL},2019-9-14,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
Halewood lions vs msb sounders tomorrow at r academy on leathers lane. Really looking forward to the game @user @user,2019-9-14,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0],,,
Footballer who watched teammate have stroke on way to game now teaching players CPR @user {URL},2019-9-14,[0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0],,,
I don’t think @Colorado_Buffaloes_Football was expecting such a physical game from @Air_Force_Football today. #LetsFly #afvscu,2019-9-14,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0],,,
"College football Saturday, in @The_Athletic_DC :  �?@Maryland_Football couldn’t punch in from in close vs. Temple, per @user : {URL} �?@user won, but, boy, was it unsatisfying, per our @Andy_Bitter : {URL} ",2019-9-14,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0],,,
ELIMINATION GAME between @user vs @Newtown_Jets catch it live on @9Gem from 12pm. @Matt_de_Groot @Danika_Mason @user and myself are in the  and ready to go. @Wide_World_of_Sports #SUNDAYfooty,2019-9-15,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0],,,
"Minnesota Vikings vs Green Bay Packers Predictions and Handicapping Preview from Vegas with @Minty , @user , and @user ! {URL} #GoPackGo #Skol @user ",2019-9-15,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0],,,
"Announced attendance for @Syracuse_Football vs @Clemson_Football tonight is 50,248. This is the third largest crowd in @user history. #NNY",2019-9-15,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
BATTLE OF THE NIGHT @user vs @user 2-1 Roc  BODY OF THE NIGHT @user vs @Fatih_k 3-0 Shine most physical battle of the night @user vs @user 2-1 Cal  Performance of the night @Arsonal with the body bag,2019-9-15,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
I loved every minute of @Harry_Smith vs @FILTHY That definitely became one of my favorite pro-wrestling matches I ve ever seen in my life!!!!!! #Bloodsport,2019-9-15,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
"Tyson Fury vs. Otto Wallin start time, live stream, fight prediction, date, card, odds, preview {URL} via @CBS_Sports #Tyson Fury  #Boxing  #Otto Wallin  #Deontay Wilder",2019-9-15,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
So @user now that the cowboys have released Chris Covington will the Texans try and get him back?,2019-9-15,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
"New Traffic Rules 2019 Public Vs Police at Rajmohal, Bhubaneswar, Odisha,how the white color Crimes wl increasing by State&Centry Govt, same on you, release the Innocents...?? @CMO_Odisha @Naveen_Patnaik @Narendra_Modi @PMO_India @DALIT_WOMEN_FIGHT @NDTV_India {URL} ",2019-9-15,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],,,
I know it’s only preseason but who takes tomorrow’s @NHL preseason game between @Vegas_Golden_Knights vs @Arizona_Coyotes @T_Mobile_Arena,2019-9-15,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
Check out what I just added to my closet on Poshmark: VS Black & White Cami. {URL} via @Poshmark #shopmycloset,2019-9-15,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],,,
Check out this @Hudl Game Recap: Madison Academy vs. Brewer 2019 {URL},2019-9-15,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
"Philadelphia Eagles vs Atlanta Falcons Predictions and Handicapping Preview from Vegas with @Minty , @user , and @user ! {URL} #InBrotherhood #FlyEaglesFly @user ",2019-9-15,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
"Halftime: No. 1 vs. No. 2 nationally. No. 1 Mater Dei 24, No. 2 St. Frances Academy 6. {URL} via @MaxPreps ",2019-9-15,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
"A fantastic game with @user u/9 girls yesterday, a great advert for girls football 25 present @Essex_County_FA , thank you to Ryman for bringing the Colebrook girls over and im sure this will be a regular fixture  vs ⚫️⚽️ @user @user @user ",2019-9-15,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
@Paytm IND vs SA  September 15 ⏲️ 7 PM IST  @Star_Sports  {URL},2019-9-15,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
Anyone wants an example of someone bigger than the sport? M. S. #Dhoni. To quote @ESPNcricinfo : Dhoni is not retired. Or injured. He is not rested. Nobody dares utter the word  dropped .,2019-9-15,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
Leader Trophy 1st round 1st leg: @user vs @user Res,2019-9-15,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
"Game Day...  ⚽️| vs #OxleathersFC | @user Div 3 ⏰| 1030 | Sponsored by The Roebuck at Draycott in the Clay | The Lowers, Abbots Bromley School   #CmonTheStags",2019-9-15,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
Season food schedule so far:  Wk 1 vs Miami - Cuban sandwich thanks @user Wk 2 vs Arizona - Chicken chimichangas / choc n banana chimichangas. Wk 3 vs Kansas - slow cook bbq ribs Wk 4 vs Cleveland - pulled pork Wk 5 vs Pittsburgh - Pierogies & primanti sandwich,2019-9-15,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0],,,
#IndvsSA: Heavy downpour in Dharamsala ahead of first T20 {URL} via @The_Tribune,2019-9-15,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0],,,
Check out what I just added to my closet on Poshmark: Nic Zoe Size XL Dress Dark Brown Knit Fit Flare. {URL} via @Poshmark #shopmycloset,2019-9-15,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],,,
Lion cubs escaped to their mother after witnessing the King Cobra sprayed its venom!ATGEI6O CPATECMWITT. LION VS KING COBRA | Lion Cubs Escaped From Snake Hunting And Returned W... {URL} 通过 @Cut4,2019-9-15,[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],,,
